institute_id,name,tlr,rpc,go,oi,perception,city,state,score,rank
IR17-ENGG-1-1-225,"Visvesvaraya National Institute of Technology, Nagpur (Deemed University)",60.59,21.88,61.04,69.96,15.72,Nagpur,Maharashtra,45.52,42
IR17-ENGG-1-1-2816307230,Manipal Institute of Technology,70.66,11.94,59.32,63.31,24.06,Manipal,Karnataka,45.38,43
IR17-ENGG-2-18613,National Institute of Technology Calicut,53.28,21.15,60.77,73.98,26.25,Calicut,Kerala,44.5,44
IR17-ENGG-1-1-2811981253,M. S. Ramaiah Institute of Technology,67.06,13.09,65.46,62.97,9.07,Bengaluru,Karnataka,44.35,45
IR17-ENGG-2-18259,AMITY University,60.02,29.5,51.14,61.36,9.43,Gautam Budh Nagar,Uttar Pradesh,44.16,46
IR17-ENGG-2-1-336,Kalinga Institute of Industrial Technology,52.55,14.08,71.82,66.05,27.39,Bhubneshwar,Odisha,43.68,47
IR17-ENGG-2-1-668,Sri Venkateswara University,54.81,33.56,54.93,55.88,4.42,Tirupati,Andhra Pradesh,43.53,48
IR17-ENGG-1-29885,R.V. College of Engineering,69.03,12.13,60.62,54.58,14.86,Bengaluru,Karnataka,43.42,49
IR17-ENGG-1-18659,Sardar Vallabhbhai National Institute of Technology,50.43,28.91,61.07,62.28,10.65,Surat,Gujarat,43.3,50
IR17-ENGG-1-11716,Coimbatore Institute of Technology,62.88,14.72,57.41,68.04,17.42,Coimbatore,Tamil Nadu,43.29,51
IR17-ENGG-2-1-2812016223,B.M.S. College of Engineering,68.76,5.48,62.43,68.13,12.85,Bengaluru,Karnataka,42.86,52
IR17-ENGG-1-18612,National Institute of Technology Silchar,61.17,18.43,59.99,58.3,10.17,Silchar,Assam,42.73,53
IR17-ENGG-2-1-321,Jaypee Institute of Information Technology,51.11,19.82,64.97,81.02,2.63,Noida,Uttar Pradesh,42.63,54
IR17-ENGG-2-18649,National Institute of Technology Durgapur,48.09,34.95,50.88,57.93,16.69,Durgapur,West Bengal,42.56,55
IR17-ENGG-1-18257,"Indraprastha Institute of Information Technology-New Delhi (IIIT New Delhi, Delhi)",48.55,20.83,70.69,55.41,20.45,New Delhi,Delhi,42.55,56
IR17-ENGG-1-12121,Kongu Engineering College,60.47,13.96,60.8,62.39,17.04,Perundurai,Tamil Nadu,42.43,57
IR17-ENGG-2-1-11112,Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology,60.49,23.07,42.07,73.59,14.68,Chennai,Tamil Nadu,42.31,58
IR17-ENGG-2-18615,National Institute of Technology Hamirpur,55.11,19.99,62.59,67.66,1.95,Hamirpur,Himachal Pradesh,42.02,59
IR17-ENGG-1-1-144,National Institute of Technology Kurukshetra,52.27,28.6,53.5,58.03,8.53,Kurukshetra,Haryana,41.61,60
IR17-ENGG-2-1-441,Maulana Azad National Institute of Technology,51.97,13.74,71.45,65.33,7.2,Bhopal,Madhya Pradesh,41.25,61
IR17-ENGG-2-18312,Karunya Institute of Technology and Sciences-Coimbatore,54.14,20.06,49.83,77.68,9.66,Coimbatore,Tamil Nadu,40.97,62
IR17-ENGG-1-18288,Jawaharlal Nehru Technological University,54.92,17.44,63.55,55.51,4.82,Hyderabad,Telangana,40.45,63
IR17-ENGG-2-24411,Shri Ramdeobaba College of Engineering and Management,64.46,2.11,56.14,70.19,21.36,District Nagpur,Maharashtra,40.36,64
IR17-ENGG-1-18631,Indian Institute of Technology Jodhpur,68.8,8.51,50.37,60.47,8.9,Jodhpur,Rajasthan,40.2,65
IR17-ENGG-2-10518,Bharati Vidyapeeth Deemed University College of Engineering,59.88,2.45,58.41,72.03,25.99,Pune,Maharashtra,40.18,66
IR17-ENGG-2-12233,"G. H. Raisoni College of Engineering, NAGPUR",52.12,8.9,55.53,69.84,34.72,Nagpur,Maharashtra,39.87,67
IR17-ENGG-1-11519,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),58.15,12.72,54.89,66.69,7.28,Vaddeswaram,Andhra Pradesh,39.64,68
IR17-ENGG-2-1-424,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM), Jabalpur",45.09,20.91,62.1,69.27,3.13,Jabalpur,Madhya Pradesh,39.46,69
IR17-ENGG-2-18620,"Malaviya National Institute of Technology, Jaipur",50.94,25.26,52.53,53.47,6.62,Jaipur,Rajasthan,39.38,70
IR17-ENGG-1-18173,Dhirubhai Ambani Institute of Information and Communication Technology,55.93,7.81,60.31,70.52,11.47,Gandhinagar,Gujarat,39.38,70
IR17-ENGG-1-1-2812032529,Siddaganga Institute of Technology,64.56,5.41,59.89,59.86,4,Tumkur,Karnataka,39.36,72
IR17-ENGG-2-1-2811134396,Mepco Schlenk Engineering College,54.66,11.5,60.25,60.08,13.05,Sivakasi,Tamil Nadu,39.21,73
IR17-ENGG-2-12969,Guru Gobind Singh Indraprastha University,51.63,25.78,53.25,49.44,3.45,Dwarka,Delhi,39.16,74
IR17-ENGG-1-1-2812988445,International Institute of Information Technology,40.86,24.99,62.56,51.3,15.51,Hyderabad,Telangana,38.95,75
IR17-ENGG-1-17931,"Faculty of Technology & Engineering, The Maharaja Sayajirao University of Baroda",58.28,16.62,52.82,48.97,8.81,Vadodara,Gujarat,38.81,76
IR17-ENGG-1-1-2809338810,Army Institute of Technology,54.85,1.05,67.36,76.35,8.24,Pune,Maharashtra,38.7,77
IR17-ENGG-1-1-2811457679,"PSNA College of Engineering and Technology, Dindigul",56.27,7.1,57.06,65.64,12.9,Dindigul,Tamil Nadu,38.27,78
IR17-ENGG-2-18406,Nirma University,54.77,13.56,54.21,56.89,10.38,Ahmedabad,Gujarat,38.07,79
IR17-ENGG-1-1-2814018067,University College of Engineering,61.64,2.55,63.13,59.62,2.12,Hyderabad,Telangana,38.06,80
IR17-ENGG-2-1-2813435762,Sagi Ramakrishnam Raju Engineering College,58.45,0.83,56.33,71.44,16.85,Bhimavaram,Andhra Pradesh,37.88,81
IR17-ENGG-2-1-2456189964,Kumaraguru College of Technology,58.07,6.31,58.34,59.69,7.88,Coimbatore,Tamil Nadu,37.74,82
IR17-ENGG-2-18296,Jaypee University of Information Technology-Solan,49.84,13.87,52.03,76.54,2.91,Solan,Himachal Pradesh,37.46,83
IR17-ENGG-1-1-2811165868,R.M.K. Engineering College,60.64,4.51,55.86,61.68,5.67,Kavaraipettai,Tamil Nadu,37.45,84
IR17-ENGG-1-1-556,Punjab Engineering College,51.52,6.65,60.52,62.62,16.34,Chandigarh,Chandigarh,37.44,85
IR17-ENGG-2-1-541,PES University,52.98,8.51,56.54,58.95,16.59,Bengaluru,Karnataka,37.31,86
IR17-ENGG-2-18392,National Institute of Technology Manipur,62.72,0.68,54.18,70.89,3.19,Manipur,Manipur,37.27,87
IR17-ENGG-1-18575,"Vignan's Foundation for Science, Technology and Research",57.25,2.82,48.23,70.42,23.89,Guntur,Andhra Pradesh,37.11,88
IR17-ENGG-2-1-57,B.S. Abdur Rahman Institute of Science and Technology,62.6,9.92,42.97,62.83,3.51,Chennai,Tamil Nadu,36.97,89
IR17-ENGG-2-10487,Chaitanya Bharathi Institute of Technology,58.85,1.35,57.79,65.58,7.45,Hyderabad,Telangana,36.93,90
IR17-ENGG-2-15188,Saveetha Engineering College,49.94,4.73,64.45,70.27,5.64,Sriperumbudur,Tamil Nadu,36.88,91
IR17-ENGG-1-26228,C.V. Raman College of Engineering,52.53,5.51,49.95,72.48,21.66,Bhubneshwar,Odisha,36.82,92
IR17-ENGG-2-10284,College of Engineering Trivandrum,49.73,9.47,55.11,62.08,18.11,Thiruvananthapuram,Kerala,36.8,93
IR17-ENGG-2-10476,"Maharashtra Institute of Technology, Pune",62.7,3.4,52.13,63.39,1.46,Pune,Maharashtra,36.75,94
IR17-ENGG-1-12784,BMS Institute of Technology & Management,60.5,5.27,50.66,62.29,5.78,Bengaluru,Karnataka,36.67,95
IR17-ENGG-2-12411,Sri Sai Ram Engineering College,54.19,3.84,59.32,68.75,4.86,Chennai,Tamil Nadu,36.64,96
IR17-ENGG-2-12581,ST. Joseph's College of Engineering,59.47,6.74,49.39,64.92,2.8,Chennai,Tamil Nadu,36.51,97
IR17-ENGG-2-1-31,Andhra University,41.94,15.81,66.86,48.27,9.03,Visakhapatnam,Andhra Pradesh,36.42,98
IR17-ENGG-2-1-2810997882,K.S.Rangasamy College of Technology,53.78,14.29,46.44,60.98,5.85,Tiruchengode,Tamil Nadu,36.4,99
IR17-ENGG-2-1-365,National Institute of Technology Meghalaya,62.02,4.12,48.34,60.6,6.29,Shillong,Meghalaya,36.21,100
